Product,BulkID, WaferID, DieX, DieY, Site, Time, Con_M0LA, Con_M0LB, Con_M1A, Con_M1LB
SCT101A,T0N428,1,0,0,1,2025/9/17,1.80,1.92,1.05,1.15
SCT101A,T0N428,1,0,-4,2,2025/9/17,1.82,1.93,1.06,1.16
SCT101A,T0N429,1,4,0,5,2025/9/18,1.80,1.92,1.05,1.15
SCT101A,T0N432,1,0,0,1,2025/9/21,1.81,1.93,1.06,1.16
SCT101A,T0N501,1,0,0,1,2025/9/23,1.82,1.94,1.07,1.17
SCT101A,T0N502,1,0,0,1,2025/9/24,1.81,1.93,1.06,1.16
SCT101A,T0N503,1,0,0,1,2025/9/26,1.79,1.91,1.04,1.14
SCT101A,T0N504,1,0,0,1,2025/9/27,1.83,1.95,1.08,1.18
SCT101A,T0N505,1,0,0,1,2025/9/29,1.80,1.92,1.05,1.15
SCT101A,T0N506,1,0,0,1,2025/10/1,1.82,1.94,1.07,1.17
SCT101A,T0N507,1,0,0,1,2025/10/3,1.81,1.93,1.06,1.16
SCT101A,T0N508,1,0,0,1,2025/10/5,1.79,1.91,1.04,1.14
SCT101A,T0N509,1,0,0,1,2025/10/7,1.83,1.95,1.08,1.18
SCT101A,T0N510,1,0,0,1,2025/10/15,1.81,1.93,1.06,1.16
SCT101A,T0N511,1,0,0,1,2025/10/17,1.82,1.94,1.07,1.17
SCT101A,T0N512,1,0,0,1,2025/10/20,1.80,1.92,1.05,1.15
SCT101A,T0N513,1,0,0,1,2025/10/23,1.83,1.95,1.08,1.18
SCT101A,T0N514,1,0,0,1,2025/10/27,1.79,1.91,1.04,1.14
SCT101A,T0N515,1,0,0,1,2025/10/30,1.82,1.94,1.07,1.17
SCT101A,T0N516,1,0,0,1,2025/11/03,1.81,1.93,1.06,1.16
SCT101A,T0N517,1,0,0,1,2025/11/06,1.80,1.92,1.05,1.15
SCT101A,T0N518,1,0,0,1,2025/11/10,1.83,1.95,1.08,1.18
SCT101A,T0N519,1,0,0,1,2025/11/14,1.79,1.91,1.04,1.14
